#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"2,307,301","+3,965","136,771",+386,"946,491","+3,214","1,224,039","19,438",,,,
,South America,"1,176,584",+308,"51,337",+10,"560,034",+73,"565,213","11,792",,,,
,Europe,"2,109,606",+428,"179,388",+28,"1,089,998","+1,083","840,220","7,118",,,,
,Asia,"1,399,490","+7,008","35,769",+130,"845,015","+2,101","518,706","14,957",,,,
,Africa,"198,990",,"5,390",,"88,212",,"105,388",490,,,,
,Oceania,"8,877",+2,124,,"8,307",+13,446,2,,,,
,World,"7,201,569","+11,711","408,794",+554,"3,538,708","+6,484","3,254,067","53,801",924,52.4,,
1,USA,"2,026,597",+104,"113,061 ",+6,"773,505",+25,"1,140,031","16,907","6,125",342,"21,727,338","65,664"
2,Brazil,"710,887",,"37,312 ",,"325,602",,"347,973","8,318","3,346",176,"999,836","4,706"
3,Russia,"476,658",,"5,971 ",,"230,688",,"239,999","2,300","3,266",41,"13,016,023","89,193"
4,Spain,"288,797",,"27,136 ",,N/A,N/A,N/A,617,"6,177",580,"4,465,338","95,508"
5,UK,"287,399",,"40,597 ",,N/A,N/A,N/A,516,"4,235",598,"5,731,576","84,456"
6,India,"267,046","+1,118","7,473 ",,"129,215",+120,"130,358","8,944",194,5,"4,916,116","3,565"
7,Italy,"235,278",,"33,964 ",,"166,584",,"34,730",283,"3,891",562,"4,236,535","70,064"
8,Peru,"199,696",,"5,571 ",,"89,556",,"104,569","1,062","6,062",169,"1,203,985","36,548"
9,Germany,"186,233",+28,"8,792 ",+9,"170,200",+600,"7,241",540,"2,223",105,"4,348,880","51,916"
10,Iran,"173,832",,"8,351 ",,"136,360",,"29,121","2,619","2,071",100,"1,107,254","13,193"
11,Turkey,"171,121",,"4,711 ",,"141,380",,"25,030",625,"2,030",56,"2,377,954","28,214"
12,France,"154,188",,"29,209 ",,"71,062",,"53,917","1,024","2,362",448,"1,384,633","21,216"
13,Chile,"138,846",,"2,264 ",,"95,631",,"40,951","1,558","7,267",118,"728,815","38,146"
14,Mexico,"120,102","+2,999","14,053 ",+354,"87,633","+3,214","18,416",378,932,109,"344,375","2,673"
15,Pakistan,"108,317","+4,646","2,172 ",+105,"35,018",+663,"71,127",111,491,10,"730,453","3,311"
16,Saudi Arabia,"105,283",,746 ,,"74,524",,"30,013","1,632","3,027",21,"976,815","28,087"
17,Canada,"96,244",,"7,835 ",,"54,833",,"33,576","1,828","2,551",208,"1,930,141","51,168"
18,Qatar,"70,158",,57 ,,"45,935",,"24,166",241,"24,987",20,"259,646","92,473"
19,Bangladesh,"68,504",,930 ,,"14,560",,"53,014",1,416,6,"410,841","2,496"
20,Belgium,"59,348",,"9,606 ",,"16,315",,"33,427",116,"5,122",829,"949,675","81,963"
21,South Africa,"50,879",,"1,080 ",,"26,099",,"23,700",208,859,18,"943,059","15,914"
22,Belarus,"49,453",,276 ,,"23,880",,"25,297",92,"5,233",29,"632,993","66,987"
23,Netherlands,"47,739",,"6,016 ",,N/A,N/A,N/A,92,"2,786",351,"414,550","24,196"
24,Sweden,"45,133",,"4,694 ",,N/A,N/A,N/A,298,"4,471",465,"275,500","27,289"
25,Ecuador,"43,378",,"3,642 ",,"21,020",,"18,716",228,"2,461",207,"127,576","7,238"
26,Colombia,"40,719",,"1,308 ",,"16,427",,"22,984",335,801,26,"421,725","8,294"
27,UAE,"39,376",,281 ,,"22,275",,"16,820",1,"3,984",28,"2,500,000","252,964"
28,Singapore,"38,296",,25 ,,"25,368",,"12,903",4,"6,549",4,"408,495","69,858"
29,Egypt,"35,444",,"1,271 ",,"9,375",,"24,798",41,347,12,"135,000","1,321"
30,Portugal,"34,885",,"1,485 ",,"21,156",,"12,244",55,"3,421",146,"873,998","85,700"
31,Kuwait,"32,510",,269 ,,"21,242",,"10,999",166,"7,620",63,"318,284","74,601"
32,Indonesia,"32,033",,"1,883 ",,"10,904",,"19,246",,117,7,"412,980","1,511"
33,Switzerland,"30,972",,"1,923 ",,"28,700",,349,29,"3,580",222,"425,154","49,146"
34,Ukraine,"27,856",+394,810 ,+13,"12,412",+217,"14,634",304,637,19,"437,444","9,999"
35,Poland,"27,160",,"1,166 ",,"13,196",+198,"12,798",160,718,31,"1,071,140","28,300"
36,Ireland,"25,207",,"1,683 ",,"22,698",,826,34,"5,109",341,"348,416","70,611"
37,Argentina,"23,620",,693 ,,"7,305",,"15,622",274,523,15,"198,520","4,395"
38,Philippines,"22,474",,"1,011 ",,"4,637",,"16,826",82,205,9,"441,487","4,032"
39,Afghanistan,"21,459",+542,384 ,+15,"2,651",+480,"18,424",19,552,10,"49,530","1,274"
40,Romania,"20,604",,"1,343 ",+4,"14,826",,"4,435",146,"1,071",70,"506,115","26,299"
41,Dominican Republic,"20,126",,539 ,,"12,158",,"7,429",110,"1,856",50,"94,511","8,718"
42,Israel,"18,089",+57,298 ,,"15,137",+35,"2,654",29,"1,967",32,"678,009","73,716"
43,Oman,"17,486",,81 ,,"3,793",,"13,612",75,"3,430",16,"111,376","21,849"
44,Japan,"17,174",,916 ,,"15,148",,"1,110",99,136,7,"316,848","2,505"
45,Austria,"16,968",,672 ,,"15,839",,457,17,"1,885",75,"494,761","54,953"
46,Panama,"16,854",,398 ,,"10,401",,"6,055",87,"3,910",92,"72,697","16,866"
47,Bahrain,"15,417",,27 ,,"10,326",,"5,064",12,"9,084",16,"374,362","220,592"
48,Bolivia,"13,949",+306,475 ,+10,"2,159",+73,"11,315",3,"1,196",41,"38,092","3,266"
49,Armenia,"13,675",+350,217 ,+6,"4,451",+352,"9,007",10,"4,615",73,"71,405","24,100"
50,Iraq,"13,481",,370 ,,"5,572",,"7,539",69,336,9,"311,980","7,768"
51,Kazakhstan,"13,074",+215,58 ,+2,"7,737",+361,"5,279",62,697,3,"998,556","53,221"
52,Nigeria,"12,801",,361 ,,"4,040",,"8,400",7,62,2,"78,244",380
53,Denmark,"11,962",,593 ,,"10,792",,577,16,"2,066",102,"715,100","123,485"
54,Serbia,"11,896",,250 ,,"11,348",,298,15,"1,361",29,"276,810","31,674"
55,S. Korea,"11,852",+38,274 ,+1,"10,589",+26,989,15,231,5,"1,035,997","20,208"
56,Algeria,"10,265",,715 ,,"6,799",,"2,751",36,234,16,,
